*************************************************a(power) = 1; 	 b(power) = 0;a(amp) = 1; 	 b(amp) = 0;a(volt) = 1; 	 b(volt) = 0;*************************************************
Target Current(A),Current(A),Voltage(V),Optical Power(W),Temperature(C)
0.000,0.012,1.153,0.02,25.0
1.000,0.973,1.337,0.01,25.1
2.000,1.977,1.371,0.70,25.2
3.000,2.973,1.395,1.66,25.3
4.000,3.973,1.416,2.63,25.3
5.000,4.980,1.436,3.63,25.3
6.000,5.983,1.455,4.62,25.4
7.000,6.981,1.472,5.56,25.4
8.000,7.975,1.488,6.46,25.4
9.000,8.973,1.504,7.36,25.4
10.000,9.968,1.518,8.26,25.4
11.000,10.961,1.532,9.08,25.5
12.000,11.977,1.545,9.96,25.5
13.000,12.968,1.557,10.73,25.5
